not_used,iri_local_name,modified,site_name_zh-Hans,site_name_zh-Latn-pinyin,site_name_en,site_geonames_id,site_getty_togn_id,earliest_period_zn-Hans,earliest_period_en,earliest_period_iri,latest_period_zn-Hans,latest_period_en,latest_period_iri,site_date_verbatim_zn-Hans,site_date_verbatim_en,locality_zn-Hans,locality_en,locality_geonames_id,locality_getty_togn_id
http://lod.vanderbilt.edu/historyart/site/Jingtusi,Jingtusi,2016-10-19T13:46:00-05:00,净土寺,Jingtusi,,,,,,,,,,金,,山西省应县,,,
http://lod.vanderbilt.edu/historyart/site/Jindongsi,Jindongsi,2016-10-19T13:46:00-05:00,金洞寺,Jindongsi,,,,,,,,,,宋至清,,山西省忻州市,,,
http://lod.vanderbilt.edu/historyart/site/Zetianmiao,Zetianmiao,2016-10-19T13:46:00-05:00,则天庙,Zetianmiao,,,,,,,,,,金,,山西省文水县,"northeast of Wenshui, Shanxi",,
http://lod.vanderbilt.edu/historyart/site/Baitaisi,Baitaisi,2016-10-19T13:46:00-05:00,白台寺,Baitaisi,,,,唐,Tang,http://n2t.net/ark:/99152/p0fp7wvrjpj,唐,Tang,http://n2t.net/ark:/99152/p0fp7wvrjpj,金至清,,山西省新绛县,,,
http://lod.vanderbilt.edu/historyart/site/Qingliansi,Qingliansi,2016-10-19T13:46:00-05:00,青莲寺,Qingliansi,,,,,,,,,,唐至清,,山西省晋城市,,,
http://lod.vanderbilt.edu/historyart/site/Yuhuangmiao,Yuhuangmiao,2016-10-19T13:46:00-05:00,玉皇庙,Yuhuangmiao,,,,,,,,,,宋至清,,山西省晋城市,,,
http://lod.vanderbilt.edu/historyart/site/Jincheng,Jincheng,2016-10-19T13:46:00-05:00,晋城二仙庙,Jincheng,,,,,,,,,,宋,,山西省晋城市,,,
http://lod.vanderbilt.edu/historyart/site/Dabeiyuan,Dabeiyuan,2016-10-19T13:46:00-05:00,大悲院,Dabeiyuan,,,,,,,,,,宋、金,,山西省曲沃县,,,
http://lod.vanderbilt.edu/historyart/site/Chongfusi,Chongfusi,2016-10-19T13:46:00-05:00,崇福寺弥陀殿,Chongfusi,,,,,,,,,,金,,山西省朔县,,,
http://lod.vanderbilt.edu/historyart/site/Fuyangsi,Fuyangsi,2016-10-19T13:46:00-05:00,福祥寺,Fuyangsi,,,,,,,,,,金至清,,山西省榆社县,,,
http://lod.vanderbilt.edu/historyart/site/Hongjiyuan,Hongjiyuan,2016-10-19T13:46:00-05:00,洪济院,Hongjiyuan,,,,,,,,,,金至清,,山西省武乡县,,,
http://lod.vanderbilt.edu/historyart/site/Wuxiang,Wuxiang,2016-10-19T13:46:00-05:00,武乡县大云寺,Wuxiang,,,,,,,,,,宋至清,,山西省武乡县,,,
http://lod.vanderbilt.edu/historyart/site/Huixianguan,Huixianguan,2016-10-19T13:46:00-05:00,会仙观,Huixianguan,,,,,,,,,,金至清,,山西省武乡县,,,
http://lod.vanderbilt.edu/historyart/site/Taifuguan,Taifuguan,2016-10-19T13:46:00-05:00,太符观,Taifuguan,,,,,,,,,,金至清,,山西省汾阳市,,,
http://lod.vanderbilt.edu/historyart/site/Puzhaosi,Puzhaosi,2016-10-19T13:46:00-05:00,普照寺大殿,Puzhaosi,,,,,,,,,,金,,山西省沁县,,,
http://lod.vanderbilt.edu/historyart/site/Qinxian,Qinxian,2016-10-19T13:46:00-05:00,沁县大云院,Qinxian,,,,,,,,,,宋至清,,山西省沁县,,,
