"header","predicate","type","value","attribute","subject_id"
"permitType","rdfs:label","language",,"en","$root"
"permitText","dcterms:description","language",,"en","$root"
"permitType","ggbn:permitType","language",,"en","$root"
"permitStatus","ggbn:permitStatus","language",,"en","$root"
"permitStatusQualifier","ggbn:permitStatusQualifier","language",,"en","$root"
"permitText","ggbn:permitText","language",,"en","$root"
"$constant","rdf:type","iri","dcterms:LicenseDocument",,"$root"
"permitText","rdfs:label","language",,"en","$root"
